system:index,B11,B12,B2,B3,B4,B8,LST,MNDWI,MNDWI2,NBR,NBR2,NDMI,NDWI,TPI,dryness,elevation,elevation_class,greeness,latitude,longitude,slope,wetness,.geo
0,0.2853,0.25495,0.11095000000000001,0.1316,0.15655000000000002,0.24165,47.98490522000003,-0.36867353,-0.3191049,-0.026782118,0.056177694,-0.08283518,-0.2948426,-3.0661157024793386,0.7495827581855697,-1,1,0.23815891577977727,-7.278779252635247,112.79615016671202,1.3167776,0.012258326034652925,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79615016671202,-7.278779252635247]}"
1,0.22415000000000002,0.1563,0.04215,0.07025,0.08130000000000001,0.25870000000000004,44.604483440000024,-0.5227581,-0.37982786,0.24674699,0.17834143,0.07155431,-0.5728834,-3.518181818181818,0.4083112464859281,-1,1,0.58615746801375,-7.283630155169493,112.79129926417777,1.4769055,0.0055312855003219336,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79129926417777,-7.283630155169493]}"
2,0.28505,0.29155000000000003,0.12630000000000002,0.15845,0.2303,0.2354,50.03571722000004,-0.2854566,-0.29577777,-0.1065566,-0.01127298,-0.09539821,-0.19537894,-3.975206611570248,0.7454931559589709,-2,1,0.24890255431368155,-7.278240263464776,112.79507218837108,1.4022578,0.005604289727347555,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79507218837108,-7.278240263464776]}"
3,0.17515,0.12325,0.041,0.06795000000000001,0.06065,0.2637,45.0932603,-0.4409708,-0.28922594,0.3629668,0.17392762,0.20177737,-0.59023064,-5.1,0.4962961907334172,-2,1,0.5035185669556974,-7.278779252635247,112.79129926417777,1.3909631,1.852423108852838E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79129926417777,-7.278779252635247]}"
4,0.2167,0.16640000000000002,0.0682,0.09240000000000001,0.097,0.2195,49.21539242000006,-0.40213522,-0.28593507,0.13760042,0.1312973,0.006419074,-0.4075024,-2.4710743801652892,0.8430034910265735,-1,1,0.15351755856957558,-7.277701274294304,112.79668915588249,0.46373534,0.0034789504038509095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79668915588249,-7.277701274294304]}"
5,0.16444999999999999,0.12065000000000001,0.036449999999999996,0.062450000000000006,0.05345,0.22105000000000002,45.79395440000002,-0.44953725,-0.31785908,0.293825,0.1536303,0.1468223,-0.5594356,-4.180555555555555,0.5027824850904439,-2,1,0.4972175149095561,-7.289559036044682,112.7907602750073,1.4769236,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.7907602750073,-7.289559036044682]}"
6,0.20805,0.14440000000000003,0.05535,0.0858,0.09165000000000001,0.19090000000000001,48.012249380000014,-0.4160286,-0.25456125,0.13868178,0.180593,-0.042987842,-0.37983376,-4.262626262626263,0.6206838986457884,-1,1,0.37931152062934786,-7.277701274294304,112.7907602750073,1.6757704,4.580724863693687E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.7907602750073,-7.277701274294304]}"
7,0.17850000000000002,0.1115,0.035,0.0621,0.0541,0.2412,46.750999999999976,-0.48379052,-0.2845622,0.3677346,0.23103449,0.14939243,-0.59050447,-3.109090909090909,0.7874291026461432,-1,1,0.21256913355108242,-7.285247122680908,112.79938410173484,1.4673688,1.7638027743373508E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79938410173484,-7.285247122680908]}"
8,0.26115,0.1564,0.04775,0.08605,0.08605,0.35235000000000005,45.831552620000025,-0.50432026,-0.29016292,0.3851597,0.25086817,0.14865525,-0.6074361,-3.4935064935064934,0.7952135188706495,-2,1,0.20478566375733306,-7.275006328441945,112.7983061233939,0.93493533,8.173720173758457E-7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.7983061233939,-7.275006328441945]}"
9,0.2901,0.17945,0.047700000000000006,0.0917,0.10800000000000001,0.3362,46.25196907999998,-0.5196438,-0.3236216,0.30398527,0.23565115,0.0736069,-0.57139516,-2.4318181818181817,0.8342260947266409,-1,1,0.16576031108612269,-7.275545317612417,112.79776713422343,1.4768823,1.359418723635617E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79776713422343,-7.275545317612417]}"
